trial,activation,hidden_layer_sizes,learning_rate_init,max_iter,n_iter_,final_loss,train_time_sec,val_accuracy,val_precision,val_recall,val_f1,val_auc_pr
12,tanh,"(128, 64)",0.01,400,21,0.15330959001055652,6.039999999999054,0.9127101150103214,0.6661184210526315,0.5100755667506297,0.5777460770328102,0.6331247387004266
18,tanh,"(128, 64)",0.01,200,21,0.15330959001055652,6.761303900000712,0.9127101150103214,0.6661184210526315,0.5100755667506297,0.5777460770328102,0.6331247387004266
5,relu,"(256, 128, 64)",0.01,400,19,0.139673464086616,17.283810800001447,0.9102034797994691,0.6586620926243568,0.4836272040302267,0.5577342047930284,0.6296420358436866
14,relu,"(256, 128, 64)",0.001,400,19,0.1139710069183173,20.89371790000041,0.9094662341492186,0.6485148514851485,0.49496221662468515,0.5614285714285714,0.6234502998581823
7,relu,"(128, 64)",0.01,400,21,0.13004373712833744,4.5022540999998455,0.9102034797994691,0.6654740608228981,0.46851385390428213,0.549889135254989,0.6226366667372302
17,tanh,"(64,)",0.001,200,39,0.1869671686795109,3.1504129999993893,0.9102034797994691,0.6614310645724258,0.47732997481108314,0.5544989027066569,0.6200366604947056
6,tanh,"(128, 64)",0.001,200,25,0.17662345437597302,7.101383799999894,0.9079917428487172,0.6291793313069909,0.5214105793450882,0.5702479338842975,0.619539412220351
13,tanh,"(256, 128, 64)",0.001,200,19,0.162908115309352,25.952036399999997,0.9079917428487172,0.639344262295082,0.491183879093199,0.5555555555555556,0.6101120612351839
4,relu,"(64,)",0.001,400,23,0.18690659885185282,1.6921977000001789,0.9063698024181658,0.67170626349892,0.3916876574307305,0.49482895783611774,0.6001400685762396
15,tanh,"(64,)",0.01,200,19,0.16531396180622526,1.6643213999996078,0.9090238867590681,0.6507666098807495,0.4811083123425693,0.5532223026792179,0.5998462529190531
1,relu,"(64,)",0.01,200,32,0.1540038412527743,2.7112703999991936,0.9075493954585668,0.6499102333931778,0.45591939546599497,0.535899333826795,0.597616704046306
2,tanh,"(64,)",0.1,400,19,0.22777995121493505,1.657443099999,0.9037157180772634,0.6831168831168831,0.33123425692695213,0.44614079728583544,0.5874552241087705
10,tanh,"(64,)",0.1,200,19,0.22777995121493505,1.645921899998939,0.9037157180772634,0.6831168831168831,0.33123425692695213,0.44614079728583544,0.5874552241087705
3,relu,"(64,)",0.1,200,21,0.21049007885052567,1.377408899999864,0.9029784724270127,0.5991253644314869,0.517632241813602,0.5554054054054054,0.5663029119440454
16,relu,"(64,)",0.1,400,21,0.21049007885052567,1.3722986000011588,0.9029784724270127,0.5991253644314869,0.517632241813602,0.5554054054054054,0.5663029119440454
8,tanh,"(128, 64)",0.1,400,33,0.28194039092059775,8.440658100000292,0.8981126511353583,0.5848434925864909,0.44710327455919396,0.5067808708065668,0.536305934307005
9,tanh,"(128, 64)",0.1,200,33,0.28194039092059775,10.014993099999629,0.8981126511353583,0.5848434925864909,0.44710327455919396,0.5067808708065668,0.536305934307005
11,relu,"(256, 128, 64)",0.1,400,29,0.2835028124148322,27.35808779999934,0.898849896785609,0.6310679611650486,0.327455919395466,0.4311774461028192,0.2944063229256302
