trial,subsample,reg_lambda,reg_alpha,n_estimators,max_depth,learning_rate,best_iteration,train_time_sec,val_accuracy,val_precision,val_recall,val_f1,val_auc_pr
6,1.0,5.0,0.5,600,3,0.3,100,0.7479754000014509,0.9104983780595695,0.6801541425818882,0.4445843828715365,0.5376999238385377,0.651974083964655
2,1.0,1.0,0.5,600,3,0.3,106,0.677070099998673,0.9102034797994691,0.6735459662288931,0.4521410579345088,0.5410700828937453,0.649147234249719
7,1.0,1.0,0.5,300,3,0.3,106,0.7490852999981144,0.9102034797994691,0.6735459662288931,0.4521410579345088,0.5410700828937453,0.649147234249719
19,1.0,1.0,0.5,300,6,0.1,126,1.1528607000000193,0.9121203184901209,0.6793478260869565,0.4722921914357683,0.5572065378900446,0.6476456835025586
3,1.0,1.0,0.0,600,3,0.3,156,1.0682014000049094,0.912267767620171,0.6825688073394496,0.46851385390428213,0.5556385362210605,0.6455855668708371
22,1.0,5.0,0.0,300,3,0.3,154,1.1494582000013907,0.9094662341492186,0.6654411764705882,0.45591939546599497,0.5411061285500748,0.6438859875459394
24,0.8,1.0,0.5,300,3,0.3,149,1.0444287999998778,0.9138897080507224,0.6909090909090909,0.47858942065491183,0.5654761904761905,0.6428011725933973
8,0.8,5.0,0.0,600,3,0.1,307,1.8907666000013705,0.9130050132704217,0.6961538461538461,0.45591939546599497,0.5509893455098934,0.6427452010227619
5,1.0,1.0,0.0,300,3,0.1,288,1.8142713999986881,0.9100560306694191,0.6803921568627451,0.43702770780856426,0.5322085889570553,0.6423243887531871
15,1.0,5.0,0.5,600,6,0.01,599,5.2312110999992,0.9115305219699203,0.6995884773662552,0.4282115869017632,0.53125,0.6409482000330158
16,0.8,5.0,0.0,600,6,0.01,599,4.207393899996532,0.9127101150103214,0.6988188976377953,0.44710327455919396,0.5453149001536098,0.6397717516564708
4,0.8,5.0,0.5,600,6,0.3,46,0.6524847000036971,0.9100560306694191,0.6625441696113075,0.4722921914357683,0.5514705882352942,0.6395857263522632
21,0.8,1.0,0.0,600,3,0.1,391,2.91676720000396,0.9113830728398702,0.6810506566604128,0.45717884130982367,0.5470987189148455,0.6388020309368402
12,0.8,5.0,0.5,600,6,0.01,599,4.871907799999462,0.9130050132704217,0.69921875,0.4508816120906801,0.5482388973966309,0.638561163318362
20,1.0,1.0,0.5,300,6,0.3,38,0.6357972999976482,0.9113830728398702,0.6678260869565218,0.4836272040302267,0.5609934258582907,0.6369978256774111
11,0.8,1.0,0.0,300,3,0.3,140,1.4496537999948487,0.9097611324093188,0.6563573883161512,0.4811083123425693,0.5552325581395349,0.6351506908335823
1,0.8,1.0,0.0,300,6,0.3,39,0.5485602999979164,0.908876437629018,0.6554770318021201,0.4672544080604534,0.5455882352941176,0.6335345719257488
13,0.8,5.0,0.0,300,6,0.01,299,2.3483769000013126,0.906664700678266,0.7027707808564232,0.3513853904282116,0.46851385390428213,0.618440366875954
18,0.8,5.0,0.5,300,6,0.01,299,2.610319999999774,0.9059274550280153,0.695,0.3501259445843829,0.4656616415410385,0.617946444982697
23,1.0,5.0,0.5,600,3,0.01,599,3.2993956999998773,0.9035682689472132,0.6955307262569832,0.3136020151133501,0.4322916666666667,0.6093543041066668
17,0.8,1.0,0.5,600,3,0.01,599,3.3750639999998384,0.9043055145974639,0.6923076923076923,0.32871536523929473,0.4457728437233134,0.6084857840406266
10,0.8,5.0,0.0,600,3,0.01,599,5.207034500002919,0.9041580654674137,0.6914893617021277,0.327455919395466,0.4444444444444444,0.60789528582594
14,0.8,1.0,0.5,300,3,0.01,299,1.8807120000055875,0.9004718372161604,0.7351778656126482,0.23425692695214106,0.3553008595988539,0.5895576668762152
9,0.8,1.0,0.0,300,3,0.01,299,1.9864357999977074,0.9006192863462106,0.7362204724409449,0.23551637279596976,0.3568702290076336,0.5883947710518804
